"Date","Price","Open","High","Low","Vol.","Change %"
"06/14/2022","46.250","43.400","46.450","40.400","1.54M","6.57%"
"06/13/2022","43.400","47.900","48.300","41.200","1.59M","-9.58%"
"06/12/2022","48.000","52.200","52.600","47.400","751.02K","-7.87%"
"06/11/2022","52.100","56.700","57.800","51.800","588.45K","-8.11%"
"06/10/2022","56.700","60.200","60.400","55.700","505.28K","-5.97%"
"06/09/2022","60.300","61.400","62.400","59.300","296.46K","-1.79%"
"06/08/2022","61.400","63.700","64.500","61.200","460.49K","-3.76%"
"06/07/2022","63.800","64.400","65.500","60.300","493.59K","-0.93%"
"06/06/2022","64.400","63.200","66.500","62.900","374.77K","1.90%"
"06/05/2022","63.200","63.800","63.800","61.700","193.58K","-0.78%"
"06/04/2022","63.700","62.600","64.300","61.400","187.84K","1.76%"
"06/03/2022","62.600","64.500","64.900","61.500","281.72K","-2.95%"
"06/02/2022","64.500","62.700","64.800","62.100","374.12K","2.87%"
"06/01/2022","62.700","68.400","70.500","61.900","632.94K","-8.20%"
"05/31/2022","68.300","69.100","69.800","66.800","445.11K","-1.01%"
"05/30/2022","69.000","63.600","69.500","63.300","612.05K","8.49%"
"05/29/2022","63.600","63.100","64.400","61.800","315.83K","0.95%"
"05/28/2022","63.000","61.600","64.000","61.300","336.60K","2.44%"
"05/27/2022","61.500","63.400","64.100","61.000","741.05K","-3.00%"
"05/26/2022","63.400","68.300","68.800","60.700","730.43K","-7.17%"
"05/25/2022","68.300","70.300","71.600","68.000","414.06K","-2.71%"
"05/24/2022","70.200","69.100","70.700","67.000","493.24K","1.74%"
"05/23/2022","69.000","71.600","74.000","68.400","613.75K","-3.63%"
"05/22/2022","71.600","69.800","72.500","69.400","291.59K","2.58%"
"05/21/2022","69.800","68.700","70.700","67.900","273.90K","1.75%"
"05/20/2022","68.600","72.100","73.400","66.800","755.48K","-4.85%"
